Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-12-03,Mean Girls,2004,https://boxd.it/5g882J,5,,,2023-12-02
2023-12-04,Persona,1966,https://boxd.it/5gy3ox,5,,,2023-12-03
2023-12-08,Double Indemnity,1944,https://boxd.it/5hNOTr,4.5,,,2023-12-07
2023-12-14,The Darjeeling Limited,2007,https://boxd.it/5jYR7P,3.5,,,2023-12-14
2023-12-24,Avengers: Endgame,2019,https://boxd.it/5nB3UH,4,,,2023-12-22
2023-12-27,Wonka,2023,https://boxd.it/5paOYP,3.5,,,2023-12-25
2023-12-29,Saltburn,2023,https://boxd.it/5qzwrn,3.5,,,2023-12-28
2023-12-30,Chinatown,1974,https://boxd.it/5r9rob,4.5,,,2023-12-29
2023-12-31,Before Sunset,2004,https://boxd.it/5rvb3v,5,,,2023-12-30
2024-01-05,Fallen Leaves,2023,https://boxd.it/5uQmgp,3.5,,,2024-01-04
2024-01-06,Heat,1995,https://boxd.it/5vpfCt,5,,,2024-01-05
2024-01-08,The Boy and the Heron,2023,https://boxd.it/5wOdu7,4.5,,,2024-01-07
2024-01-08,Anatomy of a Fall,2023,https://boxd.it/5x4onX,4.5,,,2024-01-08
2024-01-10,The Holdovers,2023,https://boxd.it/5ybXH7,4.5,,,2024-01-09
2024-01-29,Poor Things,2023,https://boxd.it/5I1Psj,4.5,,,2024-01-27
2024-01-29,Perfect Days,2023,https://boxd.it/5I1Ocf,5,,,2024-01-28
2024-02-05,No Hard Feelings,2023,https://boxd.it/5LEOfX,3.5,,,2024-02-04
2024-02-15,Past Lives,2023,https://boxd.it/5PLjDJ,5,Yes,,2024-02-14
2024-02-24,The Zone of Interest,2023,https://boxd.it/5TUQXV,4,,,2024-02-23
2024-02-25,Easy A,2010,https://boxd.it/5Uf6h7,3.5,,,2024-02-24
2024-03-02,Dune: Part Two,2024,https://boxd.it/5X3XWb,5,,,2024-03-01
2024-03-06,Sunset Boulevard,1950,https://boxd.it/5Zbkwd,4.5,,,2024-03-05
2024-03-12,Clerks,1994,https://boxd.it/625Aud,4.5,,,2024-03-12
2024-03-16,Possession,1981,https://boxd.it/63Nq4B,5,,,2024-03-16
2024-03-18,All of Us Strangers,2023,https://boxd.it/64wEu9,3.5,,,2024-03-17
2024-03-22,Lawrence of Arabia,1962,https://boxd.it/66vDtl,4.5,,,2024-03-21
2024-03-24,Jaws,1975,https://boxd.it/67qgZx,4.5,,,2024-03-23
2024-03-25,10 Things I Hate About You,1999,https://boxd.it/6808Q5,4.5,,,2024-03-24
2024-04-01,The Thing,1982,https://boxd.it/6bntXJ,5,,,2024-04-01
2024-04-02,American Fiction,2023,https://boxd.it/6bSQKv,4,,,2024-04-01
2024-04-08,Die Hard,1988,https://boxd.it/6eveX3,5,,,2024-04-07
2024-04-13,The Killing of a Sacred Deer,2017,https://boxd.it/6gstUb,3.5,,,2024-04-12
2024-04-16,Portrait of a Lady on Fire,2019,https://boxd.it/6hObAZ,4.5,,,2024-04-15
2024-04-20,X,2022,https://boxd.it/6jafY5,4,,,2024-04-20
2024-04-21,Gloria!,2024,https://boxd.it/6jDNdl,3.5,,,2024-04-20
2024-05-01,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/6nJQHB,4.5,,,2024-04-30
2024-05-02,Chungking Express,1994,https://boxd.it/6oaqWp,4,,,2024-05-01
2024-05-06,Nightcrawler,2014,https://boxd.it/6pZWuD,4,,,2024-05-05
2024-05-13,Bullet Train,2022,https://boxd.it/6sZcMD,4.5,,,2024-05-12
